Item Number,Item Name,Item Description,Attribute,Size,Regular Price,Department Name,Manufacturer,Qty 1
522,R08A-13,WESTLAKE RADIAL RP18,SL,215/70R15,43.064,AUTO TIRES,WESTLAKE,1
523,R08A-14,ACHILLES ATR SPORT 2,XL,235/45ZR17,47.976,AUTO TIRES,ACHILLES,1
524,R08A-15,WATERFALL ECO DYNAMIC,SL,205/65R15,46.368,AUTO TIRES,WATERFALL,1
525,R8A-16,NANKANG SPORTNEX NS-25,XL,225/45R17,51.968,AUTO TIRES,NANKANG,1
526,R8A-17,BFGOODRICH ADVANTAGE T/A SPORT,SL,225/50R17,99.192,AUTO TIRES,BFGOODRICH,1
527,R8A-18,COOPER CS5 GRAND TOURING,SL,235/65R18,115.992,AUTO TIRES,COOPER,1
528,R08A-19,SUPERMAX TM-1,SL,215/60R16,42.368,AUTO TIRES,SUPERMAX,1
529,R08A-20,MILESTAR MS932 SPORT,SL,205/60R16,45.568,AUTO TIRES,MILESTAR,1
530,R8A-21,SUPERMAX TM-1,SL,215/60R17,48.768,AUTO TIRES,SUPERMAX,0
531,R8A-22,SUPERMAX TM-1,SL,235/65R16,56.768,AUTO TIRES,SUPERMAX,1
532,R8A-23,SUPERMAX TM-1,SL,215/65R16,44.656,AUTO TIRES,SUPERMAX,1
533,R08A-24,GOODYEAR WRANGLER RS-A,SL,265/60R18,89.6,AUTO TIRES,GOODYEAR,1
534,R8B-01,SUPERMAX TM-1,SL,225/45R17,45.568,AUTO TIRES,SUPERMAX,1
535,R8B-02,ANTARES INGENS A1,XL,205/50R17,63.456,AUTO TIRES,ANTARES,1
536,R8B-03,RYDANZ ROADSTER R02,XL,225/45ZR17,63.912,AUTO TIRES,RYDANZ,1
537,R8B-04,SUPERMAX TM-1,SL,225/45R17,45.568,AUTO TIRES,SUPERMAX,1
538,R8B-05,SUMITOMO HTR A/S P02,SL,245/50R17,95.192,AUTO TIRES,SUMITOMO,1
539,R8B-06,RIKEN RAPTOR VR,SL,205/60R16,58.816,AUTO TIRES,RIKEN,1
540,R8B-07,SUPERMAX TM-1,SL,215/60R16,42.368,AUTO TIRES,SUPERMAX,1
541,R8B-08,WATERFALL ECO DYNAMIC,XL,215/50R17,57.592,AUTO TIRES,WATERFALL,1
542,R8B-09,RADAR DIMAX AS-8,SL,215/55R17,48.584,AUTO TIRES,RADAR,1
543,R8B-10,RADAR DIMAX AS-8,SL,215/55R17,48.584,AUTO TIRES,RADAR,1
544,R8B-11,SUPERMAX TM-1,SL,225/50R17,48.768,AUTO TIRES,SUPERMAX,1
545,R8B-12,ANTARES INGENS A1,XL,205/45ZR17,36.384,AUTO TIRES,ANTARES,1
546,R08B-13,ACHILLES ATR SPORT 2,XL,265/30ZR19,55.816,AUTO TIRES,ACHILLES,1
547,R8B-14,GOODYEAR FORTERA HL,SL,245/65R17,112.792,AUTO TIRES,GOODYEAR,1
548,R8B-15,GENERAL ALTIMAX RT43,SL,215/65R17,86.4,AUTO TIRES,GENERAL,1
549,R8B-16,WATERFALL ECO DYNAMIC,XL,235/45R17,52.768,AUTO TIRES,WATERFALL,1
550,R8B-17,FIRESTONE CHAMPION FUEL FIGHTER,SL,235/65R17,109.592,AUTO TIRES,FIRESTONE,1
